Altium Designer Pick and Place Locations
C:\Users\Michal\Projekty\Smart Home Controller\CM4_Home_Controller\Project Outputs for CM4_Home_Controller\Pick Place\Pick Place for CM4_Home_Controller.csv

========================================================================================================================
File Design Information:

Date:       22.03.22
Time:       12:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"L6","600R@100MHz","TopLayer","INDC2012X110N","4797.000","1895.000","0",""
"C52","100nF","TopLayer","CAPC1005X55N","4907.000","1934.000","180","Non-polarised capacitor"
"J9","61301421121","TopLayer","61301421121","1633.858","4261.811","0","WR-PHD Pin Header, THT, pitch 2.54mm, Dual Row, Vertical, 14pin"
"U15","BD2245G-MGTR","TopLayer","SOT95P280X125-6N","4183.071","4301.181","0","Integrated Circuit"
"BATH1","Value","TopLayer","BATH_KEYSTONE_3000","1594.488","3769.685","90","Battery Holder whit 2 Pin"
"BAT1","3V","TopLayer","BAT_VARTA_CR1220","0.000","0.000","0","Battery for use only with Socket Holder"
"R32","0","TopLayer","RESC1005X40N","4340.551","3149.606","180","Resistor"
"R31","0","TopLayer","RESC1005X40N","4340.551","3110.236","180","Resistor"
"P2","62201021121","TopLayer","62201021121","4586.614","3326.772","0","THT Vertical Pin Header WR-PHD, Pitch 1.27 mm, Dual Row, 10 pins"
"C29","100nF","TopLayer","CAPC1005X55N","3582.677","2352.362","90","Non-polarised capacitor"
"B12","SMD Pad","TopLayer","C100","5009.842","4133.858","90","Through Hole Pad"
"B11","SMD Pad","TopLayer","C100","4950.787","4133.858","90","Through Hole Pad"
"B10","SMD Pad","TopLayer","C100","4675.197","4084.646","90","Through Hole Pad"
"B9","SMD Pad","TopLayer","C100","4891.732","4133.858","0","Through Hole Pad"
"R29","12k","TopLayer","RESC1005X40N","4163.386","4212.598","0","Resistor - 1%"
"D8","SMBJ12A","TopLayer","FP-SMBJ-MFG","4261.811","1988.189","90","TVS DIODE 12V 19.9V DO214AA"
"C28","100nF","TopLayer","CAPC1005X55N","5000.000","4744.095","270","Non-polarised capacitor"
"C27","10uF","TopLayer","CAPC2012X95N","4025.591","4340.551","0","Non-polarised capacitor"
"R28","560","TopLayer","RESC1005X40N","2400.000","1740.000","90","Resistor - 1%"
"C26","100nF","TopLayer","CAPC1005X55N","1775.354","5166.063","0","Non-polarised capacitor"
"J8","61300211121","TopLayer","61300211121","2637.795","4291.339","180","WR-PHD Pin Header, THT, pitch 2.54mm, Single Row, Vertical, 2pin"
"J7","U.FL","TopLayer","CON_UFL_HIROSE_RECEPTACLE","4925.787","3338.504","0","UFL"
"P1","62201021121","TopLayer","62201021121","4694.882","4202.756","180","THT Vertical Pin Header WR-PHD, Pitch 1.27 mm, Dual Row, 10 pins"
"R27","4k7","TopLayer","RESC1005X40N","1850.354","5166.063","180","Resistor - 1%"
"R26","560","TopLayer","RESC1005X40N","2440.000","1740.000","90","Resistor - 1%"
"R25","4k7","TopLayer","RESC1005X40N","3496.053","2263.777","90","Resistor - 1%"
"R14","4k7","TopLayer","RESC1005X40N","3543.307","2263.780","270","Resistor - 1%"
"J6","MicroUSB-B","BottomLayer","USB-Micro-B-RA-SMD-PiP","2775.591","1482.776","90","MicroUSB-B-SMT"
"B8","Plated Hole","TopLayer","MTG270_500","2322.835","2755.905","0","Single Terminal Socket"
"B7","Plated Hole","TopLayer","MTG270_500","4212.598","2755.905","0","Single Terminal Socket"
"B6","Plated Hole","TopLayer","MTG270_500","4212.598","4055.118","0","Single Terminal Socket"
"B5","Plated Hole","TopLayer","MTG270_500","2322.835","4055.118","0","Single Terminal Socket"
"J2","0826-1X1T-GH-F / 0826-1X1T-M1-F","TopLayer","BEL_0826-1X1T-GH-F","1811.024","2069.784","180","MagJack 1000BASE-T | PoE+ | 1X1 | OG/Y | -40 to 85C | Tab Up | RoHS"
"R24","51","TopLayer","RESC1005X40N","4919.291","4562.992","180","Resistor - 1%"
"U14","SN74LVC1G07QDBVRQ1","TopLayer","FP-DBV0005A-IPC_A","2273.622","1771.653","270","IC BUF NON-INVERT 5.5V SOT23-5"
"R23","1k","TopLayer","RESC1005X40N","2263.780","1466.535","0","Resistor - 1%"
"R22","1k","TopLayer","RESC1005X40N","2726.378","1466.535","0","Resistor - 1%"
"D7","Red, 2V","TopLayer","WL-SMSW_0603_Rectangular","2253.937","1405.906","180","WL-SMSW SMT Mono-color Side View Waterclear, size 0603, Red, 2V, 140deg"
"D6","Green, 3.2V","TopLayer","WL-SMSW_0603_Rectangular","2716.535","1405.906","180","WL-SMSW SMT Mono-color Side View Waterclear, size 0603, Green, 3.2V, 140deg"
"R21","51","TopLayer","RESC1005X40N","4919.291","4519.685","180","Resistor - 1%"
"R20","510k","TopLayer","RESC1005X40N","2358.268","2000.000","180","Resistor - 1%"
"R4","510k","TopLayer","RESC1005X40N","2358.268","2078.740","0","Resistor - 1%"
"C51","100nF","TopLayer","CAPC1005X55N","2358.268","2039.370","0","Non-polarised capacitor"
"C50","100nF","TopLayer","CAPC1005X55N","2624.016","2086.614","90","Non-polarised capacitor"
"C11","100nF","TopLayer","CAPC1005X55N","2864.173","2244.095","0","Non-polarised capacitor"
"Y3","ECS-.327-7-34QCS-TR","TopLayer","FP-ECX-34Q-0","2037.402","3710.630","0","CRYSTAL 32.768KHZ 7PF SMD"
"Y2","ASDK-32.768KHZ-LRT","TopLayer","FP-ASDK-MFG","4970.472","4635.827","180","XTAL OSC XO 32.7680KHZ CMOS SMD"
"C43","TAJD107K016RNJ","TopLayer","FP-TAJD-MFG","2007.874","3562.992","0","100uF 16V  ±10% 600m? 2917  SMD Tantalum Capacitor"
"C49","100nF","TopLayer","CAPC1005X55N","2015.748","4074.803","180","Non-polarised capacitor"
"U7","SN74LVC1G07QDBVRQ1","TopLayer","FP-DBV0005A-IPC_A","2498.858","2068.055","0","IC BUF NON-INVERT 5.5V SOT23-5"
"SW1","431256038716","TopLayer","431256038716","2478.582","1539.215","0","WS-TATU THT Tact Switch 6X6 mm right angle type with ground terminal"
"U13","MIC2003-0.5YM5-TR","TopLayer","FP-SOT23-5LD-PL-1-IPC_A","3703.729","2330.709","0","IC PWR SWITCH P-CHAN 1:1 SOT23-5"
"D5","BAT54C-7-F","TopLayer","FP-SOT23-IPC_A","2087.531","4137.205","180","DIODE ARRAY SCHOTTKY 30V SOT23-3"
"C48","100nF","TopLayer","CAPC1005X55N","3937.008","2372.047","180","Non-polarised capacitor"
"C47","1uF","TopLayer","CAPC1005X55N","4421.456","3929.969","270","Non-polarised capacitor"
"C46","10uF","TopLayer","CAPC2012X95N","4389.764","3818.898","90","Non-polarised capacitor"
"U12","CP2102N-A02-GQFN20R","TopLayer","FP-CP2102N-A02-GQFN20R-MFG","4507.862","3061.020","0","IC USB TO UART BRIDGE QFN20"
"R19","4k7","TopLayer","RESC1005X40N","4537.402","2923.228","90","Resistor - 1%"
"R18","0","TopLayer","RESC1005X40N","4498.032","2923.228","90","Resistor"
"L5","120R@100MHz","TopLayer","INDC1608X65N","1732.284","2765.748","0","Inductor"
"L4","120R@100MHz","TopLayer","INDC1608X65N","1604.331","2765.748","0","Inductor"
"L3","120R@100MHz","TopLayer","INDC1608X65N","1289.370","2647.638","90","Inductor"
"L2","120R@100MHz","TopLayer","INDC1608X65N","1289.370","2529.528","90","Inductor"
"D4","SMAJ58A","TopLayer","FP-SMAJ-MFG","1397.638","2578.740","90","TVS DIODE 58V 93.6V SMA"
"D3","SS16","TopLayer","DIOM5127X229N","4478.346","1948.819","180","Schottky Diode"
"C45","100nF","TopLayer","CAPC1005X55N","4448.819","2923.228","90","Non-polarised capacitor"
"C44","1uF","TopLayer","CAPC1005X55N","4409.449","2923.228","90","Non-polarised capacitor"
"C42","10uF","TopLayer","CAPC2012X95N","1850.394","3425.197","0","Non-polarised capacitor"
"D4","MB6S","TopLayer","SOIC254P665X290-4N","1348.425","1870.079","90","Bridge Rectifier 1AC 2AC 3+ 4-"
"D3","MB6S","TopLayer","SOIC254P665X290-4N","1348.425","2244.095","90","Bridge Rectifier 1AC 2AC 3+ 4-"
"U16","Ag9912M","TopLayer","Ag9900M","1725.984","3100.394","180",""
"U11","SHT30-DIS-B2.5KS","TopLayer","FP-SHT30-DIS-B2_5KS-MFG","1764.094","5245.905","0","SENSOR HUMID/TEMP 5V I2C 3% SMD"
"U18","MGM210P032JIA2","TopLayer","FP-MGM210P032JIA2-MFG","4753.937","3759.843","270","RX TXRX MOD BLUETOOTH CHIP SMD"
"R17","560","TopLayer","RESC1005X40N","4728.346","2145.669","90","Resistor - 1%"
"R16","6k8","TopLayer","RESC1005X40N","4688.976","2145.669","270","Resistor - 1%"
"R15","36k","TopLayer","RESC1005X40N","4672.244","2421.260","90","Resistor - 1%"
"C41","22uF","TopLayer","CAPC2012X135N","4895.669","2854.331","180","Non-polarised capacitor"
"C40","22uF","TopLayer","CAPC2012X135N","4698.819","2775.591","0","Non-polarised capacitor"
"C39","22uF","TopLayer","CAPC2012X135N","4895.669","2775.591","180","Non-polarised capacitor"
"C38","22uF","TopLayer","CAPC2012X135N","4698.819","2696.850","0","Non-polarised capacitor"
"C37","22uF","TopLayer","CAPC2012X135N","4895.669","2696.850","180","Non-polarised capacitor"
"C36","10uF","TopLayer","CAPC2012X95N","4994.095","2145.669","180","Non-polarised capacitor"
"C35","10uF","TopLayer","CAPC2012X95N","4856.299","2145.669","0","Non-polarised capacitor"
"C34","100nF","TopLayer","CAPC1005X55N","3138.504","2497.315","0","Non-polarised capacitor"
"C33","100nF","TopLayer","CAPC1005X55N","3267.716","2350.394","180","Non-polarised capacitor"
"C32","100nF","TopLayer","CAPC1005X55N","3166.606","2146.929","90","Non-polarised capacitor"
"C31","100nF","TopLayer","CAPC1005X55N","3040.079","2497.315","0","Non-polarised capacitor"
"C30","100nF","TopLayer","CAPC1005X55N","2933.071","2177.165","0","Non-polarised capacitor"
"U10","FSUSB30MUX","TopLayer","FP-846AP-IPC_C","3437.008","2385.827","180","IC USB SWITCH 2X2 10MSOP"
"L1","90R@100MHz","TopLayer","IND_MURATA_DLW21S","2529.528","1889.764","270","Inductor Common Mode"
"D2","PRTR5V0U2X","TopLayer","SOT190P230X110-4N","2637.795","1761.811","180","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode"
"U9","AP22653W6-7","TopLayer","FP-SOT26-MFG","2834.646","1811.024","270","LOAD SWITCH,SOT26,T&R,3K"
"R13","15k","TopLayer","RESC1005X40N","2736.220","1771.653","270","Resistor - 1%"
"C25","22uF","TopLayer","CAPC2012X135N","2834.646","1933.071","0","Non-polarised capacitor"
"C24","100uF","TopLayer","CAPMP3216X180N","2834.646","1673.228","180","Polarised capacitor"
"C23","22uF","TopLayer","CAPC2012X135N","2854.331","1503.937","180","Non-polarised capacitor"
"C22","22uF","TopLayer","CAPC2012X135N","2854.331","1582.677","180","Non-polarised capacitor"
"B4","Plated Hole","TopLayer","MTG300_600","1318.898","5177.165","0","Single Terminal Socket"
"B3","Plated Hole","TopLayer","MTG300_600","4980.315","5177.165","0","Single Terminal Socket"
"B2","Plated Hole","TopLayer","MTG300_600","4980.315","1515.748","0","Single Terminal Socket"
"B1","Plated Hole","TopLayer","MTG300_600","1318.898","1515.748","0","Single Terminal Socket"
"U17","TPD13S523PWR","TopLayer","SOP65P640X120-16N","3927.165","2185.039","270","Integrated Circuit"
"R12","12k","TopLayer","RESC1005X40N","3127.236","2145.748","270","Resistor - 1%"
"R11","36k","TopLayer","RESC1005X40N","2862.669","2363.465","0","Resistor - 1%"
"R10","36k","TopLayer","RESC1005X40N","2864.173","2204.724","0","Resistor - 1%"
"R9","36k","TopLayer","RESC1005X40N","2864.173","2283.465","0","Resistor - 1%"
"R8","36k","TopLayer","RESC1005X40N","2864.173","2322.835","0","Resistor - 1%"
"Q2","25MHz","TopLayer","XTAL_EPSON_TSX-3225","3027.559","2090.551","270","Crystal 4 pins 1=XTAL Control 2=GND3=XTAL 4=GND"
"C21","33pF","TopLayer","CAPC1005X55N","2929.134","2094.488","90","Non-polarised capacitor"
"C20","33pF","TopLayer","CAPC1005X55N","3125.984","2070.866","270","Non-polarised capacitor"
"R7","12k","TopLayer","RESC1005X40N","4649.606","2145.669","270","Resistor - 1%"
"R6","150","TopLayer","RESC1005X40N","4282.480","2166.142","90","Resistor - 1%"
"C19","22uF","TopLayer","CAPC2012X135N","4447.835","2726.378","270","Non-polarised capacitor"
"C18","22uF","TopLayer","CAPC2012X135N","4369.095","2726.378","270","Non-polarised capacitor"
"C17","22uF","TopLayer","CAPC2012X135N","4216.535","2450.787","90","Non-polarised capacitor"
"C16","22uF","TopLayer","CAPC2012X135N","4059.055","2450.787","90","Non-polarised capacitor"
"C15","22uF","TopLayer","CAPC2012X135N","4137.795","2450.787","90","Non-polarised capacitor"
"C14","10uF","TopLayer","CAPC2012X95N","4462.598","2066.929","0","Non-polarised capacitor"
"C13","10uF","TopLayer","CAPC2012X95N","4464.421","2144.224","0","Non-polarised capacitor"
"J3","PC-GK2.1","TopLayer","DC2020","4739.488","1719.094","180","Low Voltage Power Supply Connector (maritex)"
"MP1","M2.5x2.5mm","TopLayer","9774025151","1510.825","4803.150","270","WA-SMSI SMT Steel Spacer, internal Thread, OD 5.1mm, M2.5x2.5mm"
"U8","PCF85063AT/AAZ","TopLayer","FP-SOT96-1-MFG","2076.772","3907.480","90","IC RTC CLK/CALENDAR I2C 8SOIC"
"R5","12k","TopLayer","RESC1005X40N","4901.575","1752.559","270","Resistor - 1%"
"Q1","DMP3013SFV-7","TopLayer","DMP3013SFV7","4939.370","1853.347","90","MOSFET (P-Channel)"
"D1","MMBZ5242BLT3G","TopLayer","ONSC-SOT-23-3-318-08_V","5005.905","1710.630","0","Zener Voltage Regulator, 225 mW, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"C12","100nF","TopLayer","CAPC1005X55N","4901.575","1673.228","270","Non-polarised capacitor"
"U6","MYMGA5R04RELA5RA","TopLayer","FP-MYMGA-MFG","4875.984","2421.260","180","DC DC CONVERTER 3.3-5V 20W"
"U5","TPD4EUSB30DQAR","TopLayer","DQA0010A_V","3307.087","2027.559","270","ESD Solution for Super-Speed (6 GBPS) USB 3.0 Interface, 4 Channels, -40 to +85 degC, 10-pin SON (DQA), Green (RoHS & no Sb/Br)"
